player_id,player_name
wojcias01,Asher Wojciechowski
walshja01,Jared Walsh
davisro03,Rookie Davis
crowaa01,Aaron Crow
workmbr01,Brandon Workman
mooredy01,Dylan Moore
cecchga02,Gavin Cecchini
ramirni01,Nick Ramirez
morinmi01,Mike Morin
fryja01,Jace Fry
choiji01,Ji-Man Choi
duggast01,Steven Duggar
dominma01,Matt Dominguez
hardyjj01,J.J. Hardy
duensbr01,Brian Duensing
ferguca01,Caleb Ferguson
cainma01,Matt Cain
buchhcl01,Clay Buchholz
webbja01,Jacob Webb
solarya01,Yangervis Solarte
osunajo01,José Osuna
thornty01,Tyler Thornburg
morribr01,Bryan Morris
pennicl01,Cliff Pennington
tapiara01,Raimel Tapia
koberje01,Jeff Kobernus
rosaad01,Adonis Rosa
willijo03,Josh Willingham
omallsh01,Shawn O'Malley
milleia01,Ian Miller
guerrta02,Taylor Guerrieri
moralos01,Osmer Morales
mckenmi01,Michael McKenry
brittdr01,Drake Britton
wilsocj01,C.J. Wilson
gallois01,Isaac Galloway
gattiev01,Evan Gattis
crickky01,Kyle Crick
alvarrj01,R.J. Alvarez
dietrde01,Derek Dietrich
guerral01,Álex Guerrero
bradlbo01,Bobby Bradley
magilma01,Matt Magill
blancan01,Andrés Blanco
claseem01,Emmanuel Clase
jacksbr01,Brett Jackson
asuajca01,Carlos Asuaje
hagadni01,Nick Hagadone
pintori01,Ricardo Pinto
reedev01,Evan Reed
allenau01,Austin Allen
colonjo01,Joe Colón
jepseke01,Kevin Jepsen
josepdo01,Donnie Joseph
pukaj01,A.J. Puk
reynoma03,Matt Reynolds
robincl01,Clint Robinson
jacksja01,Jay Jackson
dicksok01,O'Koyea Dickson
woodrbr01,Brandon Woodruff
giambja01,Jason Giambi
jimenaj01,A.J. Jiménez
changyu01,Yu Chang
wilsojo03,Josh Wilson
kinghni01,Nick Kingham
martiet01,Ethan Martin
mujiced01,Edward Mujica
swihabl01,Blake Swihart
johnsbr02,Brian Johnson
almonab01,Abraham Almonte
hamiljo03,Josh Hamilton
devench02,Chris Devenski
maronni01,Nick Maronde
olivehe01,Héctor Olivera
bedarer01,Erik Bedard
alvarda02,Dariel Álvarez
reinhja01,Jack Reinheimer
verhadr01,Drew VerHagen
thorple01,Lewis Thorpe
fieldda01,Daniel Fields
harrimi03,Mitch Harris
reyespa01,Pablo Reyes
blantjo01,Joe Blanton
parrama01,Manny Parra
motteta01,Taylor Motter
blandal01,Alex Blandino
familje01,Jeurys Familia
dominjo01,José Domínguez
bemboan01,Anthony Bemboom
konerpa01,Paul Konerko
grayso01,Sonny Gray
solisal01,Ali Solis
valdera02,Raúl Valdés
darnach01,Chase d'Arnaud
castilu02,Luis Castillo
garciri01,Rico Garcia
blankky01,Kyle Blanks
bednada01,David Bednar
sanomi01,Miguel Sanó
bailean01,Andrew Bailey
peralda01,David Peralta
grateju01,Juan Graterol
cuevawi01,William Cuevas
rojasmi02,Miguel Rojas
kopecmi01,Michael Kopech
olmosed01,Edgar Olmos
newbeja01,Jake Newberry
boteda01,David Bote
abadfe01,Fernando Abad
paulxa01,Xavier Paul
garciro02,Robel García
mcbrory01,Ryan McBroom
stewabr01,Brock Stewart
jankotr01,Travis Jankowski
judgeaa01,Aaron Judge
valbulu01,Luis Valbuena
brachbr01,Brad Brach
bauertr01,Trevor Bauer
uptonju01,Justin Upton
smithch10,Chris Smith
socolmi01,Miguel Socolovich
ortizlu02,Luis Ortiz
lindgja01,Jacob Lindgren
ruppca01,Cameron Rupp
marcush01,Shaun Marcum
wagueja01,Jacob Waguespack
civalaa01,Aaron Civale
bumgama01,Madison Bumgarner
smithmu01,Murphy Smith
bradlar01,Archie Bradley
streehu01,Huston Street
treinbl01,Blake Treinen
schlibr01,Brian Schlitter
kinslia01,Ian Kinsler
hannaja01,Jack Hannahan
